GroupNumber,Emotion,Game3Exit,Game4Exit,OverallTickets,AvRoundExit,NumberofSteals,PercentageCooperative,ZAvRoundExit,ZNumberofSteals,ZPercentageCooperative,ZAverages
1.0,Pride,2.0,1.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
2.0,Shame,3.0,5.0,16.0,4.0,1.0,75.0,0.7359245799263018,-0.7260237552643379,0.8460906339117554,0.7693463230341316
3.0,Control,1.0,2.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
4.0,Pride,3.0,2.0,12.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
5.0,Shame,5.0,5.0,20.0,5.0,2.0,100.0,1.5361532493607275,0.675953151453005,1.5626828223427645,0.8076276400834956
6.0,Pride,4.0,1.0,14.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
7.0,Control,4.0,1.0,14.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
8.0,Shame,3.0,5.0,16.0,4.0,1.0,75.0,0.7359245799263018,-0.7260237552643379,0.8460906339117554,0.7693463230341316
9.0,Shame,4.0,3.0,18.0,3.5,2.0,50.0,0.33581024520908903,0.675953151453005,0.12949844548074632,-0.0702148202543899
10.0,Shame,3.0,5.0,16.0,4.0,1.0,75.0,0.7359245799263018,-0.7260237552643379,0.8460906339117554,0.7693463230341316
11.0,Pride,1.0,2.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
12.0,Shame,4.0,3.0,18.0,3.5,2.0,50.0,0.33581024520908903,0.675953151453005,0.12949844548074632,-0.0702148202543899
13.0,Shame,5.0,4.0,22.0,4.5,1.0,75.0,1.1360389146435146,-0.7260237552643379,0.8460906339117554,0.9027177679398694
14.0,Control,1.0,4.0,14.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
15.0,Control,2.0,3.0,12.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
16.0,Pride,4.0,1.0,14.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
17.0,Pride,5.0,4.0,22.0,4.5,1.0,75.0,1.1360389146435146,-0.7260237552643379,0.8460906339117554,0.9027177679398694
18.0,Pride,2.0,3.0,12.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
19.0,Control,5.0,2.0,16.0,3.5,1.0,67.0,0.33581024520908903,-0.7260237552643379,0.6167811336138325,0.5595383780290865
20.0,Shame,5.0,5.0,20.0,5.0,0.0,100.0,1.5361532493607275,-2.128000661981681,1.5626828223427645,1.7422789112283912
21.0,Shame,3.0,4.0,18.0,3.5,2.0,50.0,0.33581024520908903,0.675953151453005,0.12949844548074632,-0.0702148202543899
22.0,Pride,1.0,2.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
23.0,Control,5.0,3.0,18.0,4.0,1.0,75.0,0.7359245799263018,-0.7260237552643379,0.8460906339117554,0.7693463230341316
24.0,Control,1.0,5.0,14.0,3.0,1.0,67.0,-0.06430408950812379,-0.7260237552643379,0.6167811336138325,0.42616693312334886
25.0,Control,5.0,5.0,20.0,5.0,0.0,100.0,1.5361532493607275,-2.128000661981681,1.5626828223427645,1.7422789112283912
26.0,Pride,5.0,5.0,20.0,5.0,0.0,100.0,1.5361532493607275,-2.128000661981681,1.5626828223427645,1.7422789112283912
27.0,Pride,3.0,2.0,12.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
28.0,Control,3.0,4.0,18.0,3.5,2.0,50.0,0.33581024520908903,0.675953151453005,0.12949844548074632,-0.0702148202543899
29.0,Shame,5.0,5.0,20.0,5.0,0.0,100.0,1.5361532493607275,-2.128000661981681,1.5626828223427645,1.7422789112283912
30.0,Control,4.0,3.0,18.0,3.5,2.0,50.0,0.33581024520908903,0.675953151453005,0.12949844548074632,-0.0702148202543899
31.0,Shame,1.0,4.0,14.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
32.0,Control,1.0,4.0,14.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
33.0,Shame,2.0,1.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
34.0,Control,5.0,3.0,16.0,4.0,1.0,75.0,0.7359245799263018,-0.7260237552643379,0.8460906339117554,0.7693463230341316
35.0,Pride,2.0,1.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
36.0,Shame,3.0,4.0,18.0,3.5,2.0,50.0,0.33581024520908903,0.675953151453005,0.12949844548074632,-0.0702148202543899
37.0,Pride,1.0,2.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
38.0,Shame,5.0,5.0,20.0,5.0,0.0,100.0,1.5361532493607275,-2.128000661981681,1.5626828223427645,1.7422789112283912
39.0,Pride,2.0,1.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
40.0,Shame,5.0,4.0,22.0,4.5,1.0,75.0,1.1360389146435146,-0.7260237552643379,0.8460906339117554,0.9027177679398694
41.0,Control,5.0,5.0,20.0,5.0,0.0,100.0,1.5361532493607275,-2.128000661981681,1.5626828223427645,1.7422789112283912
42.0,Shame,5.0,5.0,20.0,5.0,0.0,100.0,1.5361532493607275,-2.128000661981681,1.5626828223427645,1.7422789112283912
43.0,Pride,3.0,4.0,18.0,3.5,2.0,50.0,0.33581024520908903,0.675953151453005,0.12949844548074632,-0.0702148202543899
44.0,Control,2.0,1.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
45.0,Pride,2.0,1.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
46.0,Pride,1.0,2.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
47.0,Shame,5.0,2.0,16.0,3.5,1.0,67.0,0.33581024520908903,-0.7260237552643379,0.6167811336138325,0.5595383780290865
48.0,Control,3.0,5.0,16.0,4.0,1.0,75.0,0.7359245799263018,-0.7260237552643379,0.8460906339117554,0.7693463230341316
49.0,Control,2.0,1.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
50.0,Pride,2.0,1.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
51.0,Control,3.0,2.0,12.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
52.0,Control,2.0,1.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
53.0,Shame,4.0,1.0,14.0,2.5,2.0,33.0,-0.4644184242253366,0.675953151453005,-0.3577842426523399,-0.4993852727768939
54.0,Shame,5.0,4.0,22.0,4.5,1.0,75.0,1.1360389146435146,-0.7260237552643379,0.8460906339117554,0.9027177679398694
55.0,Pride,1.0,2.0,8.0,1.5,2.0,0.0,-1.2646470936597622,0.675953151453005,-1.3036859313812719,-1.081428725498013
56.0,Pride,4.0,3.0,18.0,3.5,2.0,50.0,0.33581024520908903,0.675953151453005,0.12949844548074632,-0.0702148202543899
